fnde_raw;ipea_raw;check
rosquiha;rosca;1
mandiocaauda;mandioca;1
tapereba;acerola;0
tapereba;tangerina;0
tapereba;pera;0
tapereba;taioba;0
tapereba;tapioca;0
chocolate;achocolatado;0
tambaqui;caqui;0
tambaqui;babacu;0
tambaqui;jambu;0
ovoande;ovo;1
sequilho;ervilha;0
sequilho;milho;0
sequilho;pequi;0
sequilho;polvilho;0
sequilho;quiabo;0
sequilho;repolho;0
sequilho;requeijao;0
sequilho;serralha;0
sequilho;suino;0
grostoli;brocolis;0
grostoli;granola;0
grostoli;graviola;0
geladinho;bolinho;0
geladinho;melado;0
sequinhos;suino;0
merenda;amendoa;0
merenda;erva;0
merenda;farinha;0
merenda;laranja;0
merenda;mana;0
merenda;manga;0
merenda;melado;0
merenda;melancia;0
merenda;mexerica;0
merenda;morango;0
merenda;pera;0
merenda;pimenta;0
merenda;sorda;0
merenda;xerem;0
merenda;mugunza;0
moranguinho;morango;1
geleias;vegetais;0
geleias;aveia;0
geleias;leite;0
geleias;melao;0
frangoado;mangalo;0
frangoado;salgado;0
murcote;abacate;0
murcote;buriti;0
murcote;sucos;0
murcote;murici;0
murcote;sorvete;0
murcote;suco;0
batatadoce;batata;1
quirrera;quibe;0
bananaande;banana;1
cocoidade;cocada;0
fermento;marmelo;0
fermento;pimenta;0
fermento;pimentao;0
xodozinho;bolinho;0
xodozinho;toucinho;0
concentrado;coentro;0
salgadinhos;salgado;1
paezinhos;pepino;0
camomila;ameixa;0
camomila;amora;0
camomila;cagaita;0
camomila;canjica;0
camomila;carambola;0
camomila;cebola;0
camomila;pamonha;0
alecrim;acai;0
alecrim;almeirao;0
alecrim;amendoim;0
alecrim;atemoia;0
alecrim;aveia;0
alecrim;lichia;0
alecrim;xerem;0
alecrim;aipim;0
ostoli;bolo;0
ostoli;cebola;0
ostoli;outros;0
ostoli;hortela;0
ostoli;jatoba;0
ostoli;oleo;0
ostoli;ovo;0
ostoli;soja;0
ostoli;sopa;0
nhoque;doce;0
nhoque;caqui;0
nhoque;cookie;0
nhoque;couve;0
nhoque;croquete;0
nhoque;inhame;0
nhoque;pequi;0
couveflorauda;couveflor;1
repolhoroxo;repolho;1
ovosanja;laranja;0
ovosanja;lasanha;0
picles;doce;0
picles;peixe;0
picles;sucos;0
picles;citrus;0
picles;aves;0
picles;jilo;0
picles;lichia;0
picles;milho;0
picles;oleo;0
picles;pacoca;0
picles;pe;0
picles;pinha;0
picles;pinhao;0
picles;polpa;0
picles;polvo;0
pirogue;iogurte;0
pirogue;produto;0
pirogue;vinagre;0
bombocado;bombom;0
ovosami;ovo;1
conserva;cenoura;0
conserva;erva;0
kabotia;abobora;1
kabotia;amora;0
kabotia;aveia;0
kabotia;batata;0
kabotia;cagaita;0
kabotia;cebola;0
kabotia;jatoba;0
kabotia;nabo;0
kabotia;nata;0
kabotia;pacoca;0
kabotia;pamonha;0
kabotia;pasta;0
kabotia;taia;0
kabotia;taioba;0
quitanda;castanha;0
quitanda;mostarda;0
quitanda;quiabo;0
pedacos;sucos;0
pedacos;flocos;0
pedacos;melado;0
pedacos;melao;0
pedacos;pacoca;0
pedacos;pao;0
pedacos;pepino;0
pedacos;pera;0
pedacos;peta;0
esfirra;barra;0
esfirra;cidra;0
esfirra;erva;0
esfirra;ervilha;0
esfirra;escarola;0
esfirra;nespera;0
esfirra;sorda;0
casadinho;castanha;0
casadinho;catalonha;0
casadinho;lasanha;0
casadinho;tamarindo;0
mussarela;escarola;0
mussarela;mostarda;0
alhoaudo;alho;1
alhoaudo;louro;0
alhoaudo;salgado;0
alfaceespa;alface;1
cabotian;cagaita;0
cabotian;cebola;0
fubaosso;fuba;1
batataauda;batata;1
verduras;cenoura;0
verduras;frutas;0
melanciaauda;melancia;1
chiringa;biriba;0
chiringa;chicha;0
chiringa;chicoria;0
chiringa;farinha;0
chiringa;inga;0
cenouraande;cenoura;1
vagemauda;vagem;1
compota;amora;0
compota;bombom;0
compota;cagaita;0
compota;cebola;0
compota;cocada;0
compota;coco;0
compota;peta;0
compota;pimenta;0
compota;polpa;0
compota;roma;0
compota;sopa;0
compota;tomate;0
compota;torta;0
compota;colorau;0
cenouraauda;cenoura;1
azedinha;abobrinha;0
azedinha;ameixa;0
azedinha;aveia;0
azedinha;azeite;0
azedinha;farinha;0
azedinha;pinha;0
azedinha;salsinha;0
radiche;doce;0
radiche;chicha;0
radiche;farinha;0
radiche;maxixe;0
luinguica;linhaca;0
longuica;canjica;0
longuica;linhaca;0
longuica;panqueca;0
sequilos;sucos;0
sequilos;pequi;0
sequilos;suino;0
laranjaauda;laranja;1
tangerinaauda;tangerina;1
biscoitozero;biscoito;1
laranjapera;laranja;1
tempverdch;tempero;1
beliscao;bolinho;0
beliscao;feijao;0
beliscao;limao;0
beliscao;marisco;0
beliscao;melao;0
beliscao;salsao;0
vassoura;amora;0
vassoura;cenoura;0
vassoura;massa;0
vassoura;rapadura;0
grostole;granola;0
grostole;graviola;0
chimango;camarao;0
chimango;limao;0
chimango;manga;0
chimango;morango;0
empadinha;farinha;0
empadinha;pamonha;0
empadinha;pinha;0
abacaxiaudo;abacaxi;1
aboboraauda;abobora;1
essencia;melancia;0
gelatina;melancia;0
gelatina;nectarina;0
legumes;cogumelo;0
legumes;leite;0
lanches;banha;0
lanches;aves;0
lanches;lichia;0
guandu;banha;0
guandu;cacau;0
guandu;caju;0
guandu;caldo;0
guandu;cana;0
guandu;granola;0
guandu;jambu;0
guandu;mana;0
guandu;manga;0
guandu;suino;0
guandu;umbu;0
proteina;hortela;0
proteina;manteiga;0
mandiocaadae;mandioca;1
murcota;broa;0
murcota;buriti;0
murcota;sucos;0
murcota;fruta;0
murcota;maca;0
murcota;maracuja;0
murcota;murici;0
murcota;pacoca;0
murcota;roma;0
murcota;rucula;0
murcota;suco;0
murcota;torta;0
murcota;tucuma;0
murcota;mugunza;0
almondega;amendoa;0
rapadurinhae;rapadura;1
